Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
Like Strangers	The Everly Brothers	spotify:track:5PW5bha8sWPGcvejOgwPiF	0.581	0.18	6	-16.892	1	0.0275	0.87	1.11e-05	0.0911	0.372	89.046	125360	4	43.55978	6	1
Drowsy Waters	Bill Haley & His Comets	spotify:track:09lovTHpReypw4BeNSRuFq	0.432	0.182	7	-13.69	1	0.0301	0.973	0.739	0.187	0.329	148.603	160040	4	21.6276	10	0
There Is Nothing More to Say	The Millennium	spotify:track:2k5QQ3e9F6S8S2ulVs9Q1c	0.317	0.352	0	-12.598	0	0.0288	0.34	0.00601	0.398	0.193	80.588	144920	4	29.86444	8	0
Come Softly To Me	The Tiffany Shade	spotify:track:6CcwoFXKHxPk2QWsoi5UGM	0.495	0.68	7	-9.438	1	0.04	0.547	2.6e-06	0.08	0.672	143.857	184013	4	23.07341	10	0
Love Is Like An Itching In My Heart	The Supremes	spotify:track:59tAS0swoeibMJQzySh6FH	0.715	0.579	0	-9.866	0	0.0289	0.0668	0	0.0942	0.806	129.684	177133	4	36.96239	10	1
Corran Todos	Los Shakers	spotify:track:1hwh8bDp3lXkYPXCu9kAHl	0.46	0.952	4	-7.219	1	0.0806	0.625	3.25e-06	0.0733	0.893	173.565	133760	4	18.8472	8	0
Venus In Furs - Mono	The Velvet Underground	spotify:track:6kikUzW07LAfJqbx5IupMc	0.242	0.72	8	-7.646	0	0.0383	0.0292	0.733	0.0931	0.586	144.516	313387	4	41.85514	13	0
Iko Iko	The Dixie Cups	spotify:track:2xZPpUIcajScKX99PH0fD9	0.918	0.489	9	-13.85	0	0.193	0.413	0.000655	0.0795	0.962	100.406	122344	4	32.03239	8	1
The One Who Really Loves You - Single Version	Mary Wells	spotify:track:4M732X5J2BE6M8VIHHfxMx	0.769	0.407	7	-13.556	1	0.031	0.733	0	0.244	0.921	115.65	147467	4	68.60277	6	0
Hey Now	Lesley Gore	spotify:track:5xhP0ie13xzoWAvfmsb6vn	0.591	0.564	4	-9.253	1	0.0314	0.457	0	0.741	0.963	119.478	135000	4	56.91305	5	1
Venus	Shocking Blue	spotify:track:0Z3xhSOhrawLV81YdiDiiJ	0.691	0.762	11	-6.47	0	0.0367	0.462	0.0286	0.0804	0.957	128.111	187533	4	31.98156	11	0
Baby, We've Got Love	Johnnie Taylor	spotify:track:23DIG2PAnTua8khno1RrUi	0.645	0.602	10	-10.711	1	0.0407	0.466	0.000105	0.0216	0.925	114.487	127107	4	22.23888	7	1
That's Life	Frank Sinatra	spotify:track:4FmCUATNIarCQh72JYdvnm	0.55	0.439	7	-14.193	1	0.071	0.528	0	0.437	0.633	111.652	187040	3	26.65769	8	1
Overture	The Who	spotify:track:3ZptOUFeYHv66LQ51MELcM	0.483	0.617	0	-10.488	1	0.0349	0.0557	0.691	0.143	0.185	118.105	320032	4	17.24761	19	0
