The Terribles,The First Edition
,Miriam Makeba
,Mike Douglas
,The Novas
,The Superbs
,Sir Douglas Quintet
,Trini Lopez
,The Echoes
,Shades Of Blue
,Paul Evans
,The Gestures
,Burl Ives
,Margaret Whiting
,Scott English
,The Swinging Blue Jeans
,Piero Umiliani
,The Buckinghams
,Louis Armstrong
,Frankie Ford
,Adam Faith
,The Jelly Beans
,J.J. Jackson
,The Demensions
,The Jaynetts
,Hollywood Argyles
,The Toys
,The Harden Trio
,Benny Spellman
,The Ivy Three
,Tommy Edwards
,Buchanan Brothers
,The Peels
,Peppermint Rainbow
,The Coasters
,Tommy Boyce
,The Cowsills
,Dee Dee Sharp
,The Cyrkle
,Nat King Cole
,Cher
,The Cookies
,The Vibrations
,Lefty Frizzell
,Tony Bennett
,The Seekers
,Lesley Gore
,The Spinners
,The Sidekicks
,The Fireballs
,Little Junior Parker
,Ruby And The Romantics
,John Lee Hooker
,B.J. Thomas
,The Rollers
,Brian Wilson
,Dave Dudley
,"Crosby, Stills & Nash"
,Skeeter Davis
,Ruth Brown
,The Barbarians
,The Dynamics
,Gale Garnett
,Dreamlovers
,Rhinoceros
,Jackie Ross
,Hayley Mills
,Mickey Lee Lane
,Jack Nitzsche
,The Surfaris
,Jimmy Reed
,The Enchanters
,Wilson Pickett
,Troy Keyes
,Della Reese
,Roy Drusky
,Baby Washington
,The Equals
,Diana Ross & The Supremes
,Ferlin Husky
,Judy Collins
,Della Humphrey
,The Supremes
,The Diamonds
,The Chordettes
,The Jamies
,The Lemon Pipers
,The Gants
,Ian Whitcomb
,The Everly Brothers
,Three Dog Night
,David Ruffin
,Jimmy Dean
,Rod McKuen
,Jerry Jeff Walker
,Larry Finnegan
,Jimi Hendrix
,LaVern Baker
,The Timetones
,Sonny James
,Bobby Goldsboro
,Tammi Terrell
,Dee Clark
,Mrs. Miller
,Jimmy McCracklin
,The String-A-Longs
,Johnny Adams
,The Tams
,The Swans
,The Devotions
,Bud Shank
,James Phelps
,Billy Joe Royal
,Fred Darian
,Ketty Lester
,Gloria Lynne
,Deon Jackson
,The New Christy Minstrels
,Blue Cheer
,Jack Eubanks
,Jane Morgan
,Keith Barbour
,The Chanters
,The G-Clefs
,Petula Clark
,John Mayall
,The Browns
,The Detergents
,Del Shannon
,Tommy Tucker
,The Emotions
,Marion Worth
,Jimmy Elledge
,Darlene Love
,Bobby Sherman
,Johnny Sea
,The Serendipity Singers
,The Five Du-Tones
,Bobby Hebb
,Johnnie Morisette
,The Wildweeds
,The Exciters
,The James Boys
,Mitch Ryder
,The Candymen
,The Spencer Davis Group
,Grand Funk Railroad
,Patty Duke
,Steam
,H.B. Barnum
,Toussaint McCall
,The Grass Roots
,Dion
,Ohio Express
,Nazz
,Johnny Lytle
,The Crazy World Of Arthur Brown
,Fantastic Four
,Ramrods
,Hank Locklin
,Clarence Reid
,Jefferson Airplane
,John D. Loudermilk
,Mark Valentino
,Rita Pavone
,The Formations
,Billy Abbott And The Jewels
,The Blendells
,The Olympics
,Janis Joplin
,The Fleetwoods
,Kenny Chandler
,Jackie DeShannon
,Sly & The Family Stone
,Mark Dinning
,Dionne Warwick
,Duane Eddy
,The Platters
,The Poets
,Bill Pursell
,The Sunshine Company
,Rex Allen
,Sammy Masters
,The Staple Singers
,Theola Kilgore
,Earl Grant
,The Statler Brothers
,Nancy Wilson
,Don & Juan
,Pat Boone
,Don Fardon
,Tom Jones
,Junior Parker
,The New Yorkers
,The Drifters
,Jewel Akens
,Bobby Vee
,Paul Revere & The Raiders
,Barry Young
,Jimmy Soul
,The Kinks
,Mickey & Sylvia
,Jack Scott
,Vic Dana
,Johnny Rivers
