Super Fly Meets Shaft,John & Ernest
Brian's Song,Michel Legrand
One More Minute,Saint Tropez
Big City Miss Ruth Ann,Gallery
River Road,Uncle Dog
Showdown,Odia Coates
Stay Awhile,Continental Miniatures
FM (No Static At All),Steely Dan
Rock'n Me,Steve Miller
Wild World,The Gentrys
Platinum Heroes,Bruce Foster
Tonight's The Night,S.S.O.
The Long And Winding Road/For You Blue,The Beatles
Sub-rosa Subway/calling Occupants,Klaatu
Ode To Billy Joe - Main Title,Bobbie Gentry
You Got To Pay The Price,Gloria Taylor
Do You Know What Time It Is?,P-Nut Gallery
You Ain't Never Been Loved (Like I'm Gonna Love You),Jessi Colter
You're The One,The Three Degrees
You Can Have Her,Sam Neely
I'm Sorry,Bobby Bland
Be Nice To Me,Runt-Todd Rundgren
I Am Love (Parts I & II),Jackson 5
Teddy Bear's Last Ride,Diana Williams
All I Have To Do Is Dream,Bobbie Gentry & Glen Campbell
Everybody Wants To Find A Bluebird,Randy Edelman
When A Child Is Born,Michael Holm
Saturday Morning Confusion,Bobby Russell
Darlin',Paul Davis Feat. Susan Collins
I'm A Greedy Man - Part I,James Brown
Nobody But You,Kenny Loggins With Jim Messina
"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods
Funky Drummer (Part 1),James Brown
He's So Fine,Kristy And Jimmy McNichol
Do It With Feeling,Michael Zager's Moon Band/Peabo Bryson
Band On The Run,Paul McCartney And Wings
Your Love (Means Everything to Me),Charles Wright And The Watts 103rd Street Rhythm Band
Hail! Hail! Rock And Roll!,Starland Vocal Band
I'm In Love,Aretha Franklin
A Million To One/Young Love,Donny Osmond
Son Of My Father,Giorgio
Somewhere In The Night,Batdorf & Rodney
Love Uprising,Otis Leaville
"One Tin Soldier, The Legend of Billy Jack",Coven
Watch Out For Lucy,Eric Clapton And His Band
The Other Woman,Vicki Lawrence
"My Wife, The Dancer",Eddie & Dutch
Stay,Rufus/Chaka Khan
Cold Turkey,Plastic Ono Band
Sunshine Part II,The O'Jays
Open Up My Heart/Nadine,The Dells
Honey Trippin',The Mystic Moods
Can This Be Real,Natural Four
Get Down People,Fabulous Counts
I Love Music (Part 1),The O'Jays
I Want To (Do Everything For You),The Raelettes
Lonely School Year,The Hudson Brothers
I'll Erase Away Your Pain,Whatnauts
Butter Boy,Fanny
My Sweet Summer Suite,Love Unlimited Orchestra
Carry Me,David Crosby/Graham Nash
The Topical Song,The Barron Knights
Hey Girl/I Knew You When,Donny Osmond
Got To Give It Up (Pt. I),Marvin Gaye
I Hear Those Church Bells Ringing,Dusk
Friends/chapel Of Love,Bette Midler
Discomania,The Lovers
I Fought The Law,Sam Neely
Where Are All My Friends,Harold Melvin And The Blue Notes
Chairman Of The Board,Chairman Of The Board
That's Where I Went Wrong,The Poppy Family (Featuring Susan Jacks)
The Hustle,Van McCoy And The Soul City Symphony
Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks)
Daydreamer,C.C. & Company
Walk On By,AWB
Costafine Town,Splinter
She's All I Got,Freddie North
My Mistake (Was To Love You),Diana Ross & Marvin Gaye
I Go To Pieces,"Cotton, Lloyd & Christian"
Judy Mae,Boomer Castleman
Junior's Farm/Sally G,Paul McCartney And Wings
Bad Brakes,Cat Stevens
Let Me Sleep Alone,Cugini
Your Cash Ain't Nothin' But Trash,The Steve Miller Band
Tell The World How I Feel About 'Cha Baby,Harold Melvin And The Blue Notes
Girl You Need A Change Of Mind (Part 1),Eddie Kendricks
Without Your Love (mr. Jordan),Charlie Ross
Help Me Make It Through The Night,Gladys Knight And The Pips
Hold On,Sons Of Champlin
I Got Stoned And I Missed It,Jim Stafford
Live Your Life Before You Die,The Pointer Sisters
Daybreak,Nilsson
The Loco-Motion,Grand Funk
Do You Wanna Go Party,KC And The Sunshine Band
Take It Off Him And Put It On Me,Clarence Carter
Want Ads,The Honey Cone
Americans,Byron MacGregor
Blame It On The Boogie,Mick Jackson
Living In The U.s.a.,The Steve Miller Band
You've Got Me Runnin',Gene Cotton
Hot Stuff/fool To Cry,The Rolling Stones
Midnight,Dennis Yost And The Classics IV
Long Haired Lover From Liverpool,Little Jimmy Osmond with The Mike Curb Congregation
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer
Better Place To Be (Parts 1 & 2),Harry Chapin
Airport Love Theme (Gwen And Vern),Vincent Bell
It Must Be Love,Alton McClain & Destiny
For The Love Of You (Part 1&2),The Isley Brothers
The Entertainer,"Marvin Hamlisch/""The Sting"""
I Really Don't Want To Know/There Goes My Everything,Elvis Presley
Keep On Loving Me (You'll See The Change),Bobby Bland
First Cut Is The Deepest,Keith Hampshire
Anytime (I'll Be There),Frank Sinatra
Satisfaction Guaranteed (Or Take Your Love Back),Harold Melvin And The Blue Notes
I'll Play For You,Seals & Crofts
Abra-Ca-Dabra,The De Franco Family
It's All Over,The Independents
Mama's Pearl,Jackson 5
Every Day Of My Life,Bobby Vinton
Freddie,Charlene
Only You,Loleatta Holloway And Bunny Sigler
Street Singin',Lady Flash
Message From A Black Man,The Whatnauts & The Whatnaut Band
The River Of Love,B.W. Stevenson
One Nation Under A Groove - Part I,Funkadelic
Palace Guard,Rick Nelson And The Stone Canyon Band
(I'd Know You) Anywhere,Ashford & Simpson
Can't Sleep,Rockets
Back When My Hair Was Short,Gunhill Road
Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival
Rock Around The Clock,Bill Haley And His Comets
This Bitter Earth,The Satisfactions
"Just As Long As You Need Me, Part I",Independents
Everyday Without You,"Hamilton, Joe Frank & Reynolds"
The Letter,Joe Cocker with Leon Russell & The Shelter People
Get Closer,Seals & Crofts (Featuring Carolyn Willis)
One Tin Soldier (The Legend of Billy Jack),Coven
I Need You,Euclid Beach Band
Yesterday I Had The Blues,Harold Melvin And The Blue Notes
A Piece Of Paper,Gladstone
I Just Don't Know What To Do With Myself,Gary Puckett
That's The Way A Woman Is,Messengers
Rockin' And Rollin' On The Streets Of Hollywood,Buddy Miles
I Know I'm In Love,Chee-Chee & Peppy
Soul Shake,Delaney & Bonnie & Friends
Get Down Tonight,KC And The Sunshine Band
You're A Part Of Me,Gene Cotton With Kim Carnes
Heart To Heart,Errol Sober
She's Ready,Spiral Starecase Featuring: Pat Upton
13 Questions,Seatrain
Talking Loud And Saying Nothing - Part I,James Brown
My Love,Paul McCartney And Wings
Searching For A Thrill,Starbuck
Shotgun Shuffle,The Sunshine Band
I'll Still Love You,Jim Weatherly
Spirit In The Sky,Dorothy Morrison
Shoe Shoe Shine,Dynamic Superiors
Mill Valley,Miss Abrams And The Strawberry Point School Third Grade Class
Summer Sun,Jamestown Massacre
Between Her Goodbye And My Hello,Gladys Knight And The Pips
Gonna Be Alright Now,Gayle McCormick
Like A Sunday In Salem (The Amos & Andy Song),Gene Cotton
You're A Lady,Dawn Featuring Tony Orlando
I'm So Glad,The Fuzz
Hell Cat,Bellamy Brothers
"Que Sera, Sera (Whatever Will Be, Will Be)",Mary Hopkin
The Joker,The Steve Miller Band
Long And Lonesome Road,The Shocking Blue
The Wedding Song (There Is Love),Mary Macgregor
Here Comes Summer,Wildfire
Love In 'C' Minor,The Heart And Soul Orchestra
Some Beautiful,Jack Wild
Another Saturday Night,Cat Stevens
(Don't Fear) The Reaper,Blue Oyster Cult
Let's Live Together,Cazz
"Louie, Louie",John Belushi
Rubber Biscuit,Blues Brothers
Get That Gasoline Blues,NRBQ
You're Only Lonely,J.D. Souther
All I Need Is Time,Gladys Knight And The Pips
Toast And Marmalade For Tea,Tin Tin
I Wouldn't Treat A Dog (The Way You Treated Me),Bobby Bland
Rip Off,Laura Lee
Give It What You Got/Peace Pipe,B.T. Express
Spaceman,Nilsson
Boogie Wonderland,"Earth, Wind & Fire with The Emotions"
Until Now,Bobby Arvon
Do Ya,The Move
Old Fashioned Boy (You're The One),Stallion
The White Knight,Cledus Maggard And The Citizen's Band
Smoke From A Distant Fire,The Sanford/Townsend Band
Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry,Hank Wilson
She's Got A Whole Number,Keith Herman
Hijack,Herbie Mann
Pain (Part I),Ohio Players
Still The Lovin' Is Fun,B.J. Thomas
Rock 'N Roll (I Gave You The Best Years of My Life),Kevin Johnson
Wrap Your Arms Around Me,KC And The Sunshine Band
Country Woman,The Magic Lantern
One Night Stand,The Magic Lanterns
When Julie Comes Around,The Cuff Links
Temma Harbour,Mary Hopkin
Chico And The Man,Jose Feliciano
If You Wanna Get To Heaven,Ozark Mountain Daredevils
MacArthur Park (Part II),Four Tops
Nothin' Heavy,David Bellamy
He,Today's People
Hot Pants,Salvage
Wow,The Disco Sound Of Andre Gagnon
Hearts Of Stone,The Blue Ridge Rangers
Sugar Daddy,Jackson 5
You've Got A Friend,Roberta Flack & Donny Hathaway
Rendezvous,The Hudson Brothers
In Heaven There Is No Beer,Clean Living
I'm Dreaming,Jennifer Warnes
Heaven Must Be Missing An Angel (part 1),Tavares
Up Your Nose,Gabriel Kaplan
Carolina In The Pines,Michael Murphey
"Daddy Could Swear, I Declare",Gladys Knight And The Pips
Isn't It Lonely Together,Stark & McBrien
Lady Love,The Klowns
Come To Me,Tommy James And The Shondells
"Baby, Baby I Love You",Terry Cashman
"Find 'Em, Fool 'Em & Forget 'Em",Dobie Gray
Superstar/Bless The Beasts And Children,Carpenters
Dialogue (Part I & II),Chicago
Roll On,The New Colony Six
This Is The Way That I Feel,Marie Osmond
I Shall Sing,Garfunkel
It's Cool,The Tymes
Saturdaynight,Herman Brood
Rumor At The Honky Tonk,Spellbound
It's Uncanny,Daryl Hall John Oates
That Once In A Lifetime,Demis Roussos
Because The Night,Patti Smith Group
"Where Did They Go, Lord/Rags To Riches",Elvis Presley
Heartaches,BTO
Let's Give Adam And Eve Another Chance,Gary Puckett And The Union Gap
Slow Dancin' Don't Turn Me On,Addrisi Brothers
When You're Young And In Love,The Choice Four
Mr. Penguin-Pt. I,Lunar Funk
Shake And Dance With Me,ConFunkShun
Holy Man,Diane Kolby
Without Love (There Is Nothing),Tom Jones
For Your Love,Christopher Paul And Shawn
It's The Real Thing - Pt. I,The Electric Express
What You Gave Me,Marvin Gaye & Tammi Terrell
It's Over,Electric Light Orchestra
I Want You To Be Mine,Kayak
Daisy A Day,Jud Strunk
Nickel Song,The New Seekers featuring Eve Graham
You Make Me Real/Roadhouse Blues,The Doors
Words (are Impossible),Donny Gerrard
Rings,Cymarron
Anything You Want,John Valenti
I Am What I Am,Lois Fletcher
Did You Boogie (With Your Baby),Flash Cadillac And The Continental Kids
"White Lies, Blue Eyes",Bullet
I Just Can't Control Myself,Nature's Divine
I Can't Be You (You Can't Be Me),The Glass House
Bad Time,Grand Funk
Rock And Roll Dancin',Beckmeier Brothers
I Miss You (Part I),Harold Melvin And The Blue Notes
Booty Butt,The Ray Charles Orchestra
In The Mood,Henhouse Five Plus Too
I Got A Thing About You Baby,Billy Lee Riley
Sorry/That's The Trouble,Grace Jones
I Could Have Danced All Night/Jump For Joy,Biddu Orchestra
Hello Stranger,Fire And Rain
"Quick, Fast, In A Hurry",New York City
Walk Like A Man,Grand Funk
Basketball Jones Featuring Tyrone Shoelaces,Cheech & Chong
War Song,Neil Young & Graham Nash
Jubilation,Paul Anka
Mellow Lovin',Judy Cheeks
Oh! Darling,Robin Gibb
She Didn't Do Magic/I'm The Only One,Lobo
"1,000 Laughs",Eloise Laws
Can't Help Falling In Love,Al Martino
Leaving On A Jet Plane,"Peter, Paul & Mary"
He'd Rather Have The Rain,Heaven Bound with Tony Scotti
Sitting In Limbo,Don Brown
Another Day/Oh Woman Oh Why,Paul McCartney
Sweet Sweetheart,Bobby Vee
Sweets For My Sweet,Tony Orlando
Trouble In My Home/I Found My Dad,Joe Simon
Hold On To The Night,Hotel
Almost Summer,Celebration featuring Mike Love
If You Were Mine,Ray Charles
Hello Hurray,Alice Cooper
Fever/My Crew,Rita Coolidge
Pick Up The Pieces,AWB
Lazy Eyes,T.M.G.
Bump Me Baby Part 1,Dooley Silverspoon
Get On The Good Foot-Part 1,James Brown
Breaker - Breaker,Outlaws
We Can Make It Together,Steve & Eydie Featuring The Osmonds
A Lonely Man/The Man & The Woman (The Boy & The Girl),The Chi-lites
Jackie Blue,Ozark Mountain Daredevils
Ready,Cat Stevens
Banks Of The Ohio,Olivia Newton-John
Banapple Gas,Cat Stevens
Roller-Skatin' Mate (Part I),Peaches & Herb
Put Your Head On My Shoulder,Leif Garrett
If You Do Believe In Love,The Tee Set
Delta Queen,Don Fardon
I Been Moved,Andy Kim
Got To Have Loving,Don Ray
You Are So Beautiful/It's A Sin When You Love Somebody,Joe Cocker
It's For You,Springwell
Livin' It Up (Friday Night),Bell & James
What Time Of Day,Billy Thunderkloud & The Chieftones
Feeling Alright,Joe Cocker
Kentucky Moonrunner,Cledus Maggard And The Citizen's Band
Instant Karma (We All Shine On),John Ono Lennon
(Remember The Days Of The) Old Schoolyard,Cat Stevens
Love Me Tonight,Blackjack
Hurricane (Part 1),Bob Dylan
An American Dream,The Dirt Band
"Betcha By Golly, Wow","The Stylistics Featuring Russell Thompkins,Jr."
Jump Into The Fire,Nilsson
Sail Away,Sam Neely
"Names, Tags, Numbers & Labels",The Association
Rock And Roll Star,Champagne
Wake Up And Love Me,April
What's Your Name,Andy & David Williams
Come Together,Ike & Tina Turner & The Ikettes
It Only Hurts When I Try To Smile,Dawn Featuring Tony Orlando
A Little Lovin' (Keeps The Doctor Away),The Raes
I Believe I'm Gonna Love You,Frank Sinatra
Everybody's Had The Blues,Merle Haggard And The Strangers
Standing In For Jody,Johnnie Taylor (The Soul Philosopher)
Kate,Johnny Cash And The Tennessee Three
That's The Way (I Like It),KC And The Sunshine Band
Midnight Sky (Part 1),The Isley Brothers
We've Got To Get It On Again,Addrisi Brothers
Theme From Love Story,Francis Lai And His Orchestra
American Woman/No Sugar Tonight,The Guess Who
Mammas Don't Let Your Babies Grow Up To Be Cowboys,Waylon & Willie
Thank God For You Baby,Pacific Gas And Electric
Ma Baker,Boney M
Those Were The Days,Carroll O'Connor And Jean Stapleton (As The Bunkers)
A Sunday Kind Of Love,Lenny Welch
Wear This Ring (With Love),Detroit Emeralds
You're Movin' Out Today,Bette Midler
Bad Luck (Part 1),Harold Melvin And The Blue Notes
She Belongs To Me,Rick Nelson
WOLD,Harry Chapin
If I Only Knew,Ozark Mountain Daredevils
If I Could See The Light,The 8th Day
She Lets Her Hair Down (Early In The Morning),The Tokens
Part Time Love,Gladys Knight And The Pips
For Love,Pousette-Dart Band
What Am I Living For,Ray Charles
Bye Bye Baby,U.S. 1
Everything Good Is Bad,100 Proof Aged in Soul
I'll Know Her When I See Her,Cooper Brothers Band
Theme From Electric Surfboard,Brother Jack McDuff
Love Don't Love Nobody - Pt. I,The Spinners
If You Go Away,Terry Jacks
I Still Have Dreams,Richie Furay
The Fonz Song,The Heyettes
Thanks For The Smiles,Charlie Ross
Stoned Cowboy,Fantasy
On And Off (Part 1),Anacostia
Dancing Machine,Jackson 5
Be My Baby,Andy Kim
"God Knows/Baby, I'm Yours",Debby Boone
Ajax Liquor Store,Hudson and Landry
We May Never Pass This Way (Again),Seals & Crofts
When The Party Is Over,Robert John
I Like You,Donovan
Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager
Are You Ready?,Pacific Gas And Electric
I Don't Wanna Lose You,Daryl Hall John Oates
Stand By Me,David & Jimmy Ruffin
If You Only Believe (Jesus For Tonite),Michel Polnareff
Stones/Crunchy Granola Suite,Neil Diamond
"Hoppy, Gene And Me",Roy Rogers
Amanda,Dionne Warwicke
Tell Me Something Good,Rufus Featuring Chaka Khan
Viva Tirado - Part I,El Chicano
I'll Be Home,Vikki Carr
It's Summer,The Temptations
Tell Me A Lie,Sami Jo
Men Of Learning,Vigrass & Osborne
Big Yellow Taxi,The Neighborhood
I'm Comin' Home,Dave Edmunds
The Runway,The Grass Roots
Spirit Of The Boogie/Summer Madness,Kool & The Gang
Ghost Dancer,Addrisi Brothers
Diamond Girl,Seals & Crofts
Don't Let Go,Commander Cody
The Court Room,Clarence Carter
I Need Your Help Barry Manilow,Ray Stevens
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone
I Like What You Give,Nolan
Ain't That Enough For You,John Davis And The Monster Orchestra
A Real Mother For Ya,Johnny Guitar Watson
Something,Booker T. & The MG's
Moon Shadow,Cat Stevens
So Much Love,"Faith, Hope And Charity"
Brooklyn,Cody Jameson
Life During Wartime (This Ain't No Party...This Ain't No Disco...This Ain't,Talking Heads
Why/Lonely Boy,Donny Osmond
Le Spank,Le Pamplemousse
Sunshine Roses,Gene Cotton
Superstar,Murray Head With The Trinidad Singers
Spring Affair/Winter Melody,Donna Summer
I Hope We Get To Love In Time,"Marilyn McCoo & Billy Davis, Jr."
Bed Of Rose's,The Statler Brothers
I've Found Someone Of My Own,The Free Movement
Life And Breath,Climax featuring Sonny Geraci
Love Means (You Never Have To Say You're Sorry),Sounds Of Sunshine
Can't Get Over Losing You,Donnie Elbert
"Baby, I'll Give It To You",Seals & Crofts
Cosmic Sea,The Mystic Moods
You Light Up My Life,Kacey Cisyk/Original Cast
Love Me One More Time (Just For Old Times Sake),Karen Nelson And Billy T
Drinking Wine Spo-dee O'dee,Jerry Lee Lewis
Ain't Nothing Gonna Keep Me From You,Teri DeSario
It's All Down To Goodnight Vienna/Oo-Wee,Ringo Starr
Funny How Love Can Be,First Class
Mighty Joe,The Shocking Blue
I Love You Lady Dawn,The Bells
Special Someone,The Heywoods
The Lone Ranger,Oscar Brown Jr.
"Carry Me, Carrie",Dr. Hook And The Medicine Show
Out Of The Darkness,David Crosby/Graham Nash
Mendelssohn's 4th (Second Movement),Apollo 100
Brown Paper Bag,Syndicate Of Sound
Breaking Up Is Hard To Do,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Boogie Woogie Dancin' Shoes,Claudja Barry
"Theme Song From ""Which Way Is Up""",Stargard
(Baby) Turn On To Me,The Impressions
Who Do Ya Love,KC And The Sunshine Band
(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,Travis Wammack
Gone At Last,Paul Simon/Phoebe Snow
Love's Street And Fool's Road,Solomon Burke
Mother-in-law,Clarence Carter
"You To Me Are Everything, Part I",Revelation
Spirit In The Night,Manfred Mann's Earth Band
I Want To Dance With You (Dance With Me),The Ritchie Family
Ace Of Spade,O.V. Wright
Who Loves You,The 4 Seasons
Nadia's Theme (The Young And The Restless),Barry DeVorzon And Perry Botikin Jr.
To Each His Own,"Faith, Hope And Charity"
Down On The Corner/Fortunate Son,Creedence Clearwater Revival
King Of Nothing,Seals & Crofts
Love's Theme,Love Unlimited Orchestra
You Are A Song,Batdorf & Rodney
"If It Don't Fit, Don't Force It",Kellee Patterson
Sailing Ships,Mesa
Can't Help Falling In Love,Andy Williams
Sherry,The Keane Brothers
Remember What I Told You To Forget/My Ship,Tavares
Come An' Get Yourself Some,Leon Haywood
The Heartbreak Kid,Bo Donaldson And The Heywoods
The Wonder Of You/Mama Liked The Roses,Elvis Presley
Puppet Man/Resurrection Shuffle,Tom Jones
Touch Me When We're Dancing,Bama
The Red Back Spider,Brownsville Station
Our Love Is Insane,Desmond Child And Rouge
Grasshopper,Spin
The Ghetto-Part 1,Donny Hathaway
Manhattan Spiritual,Mike Post
Sad Eyes,Brooklyn Dreams
Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles
Guess Who/Them Changes,B.B. King
I Don't Wanna Lose Your Love/Flowers,The Emotions
Get Up (I Feel Like Being Like A) Sex Machine (Part 1),James Brown
No Good To Cry,The Poppy Family
Walk Away,The James Gang
Yesterday's Hero,John Paul Young
"Theme From ""Rocky"" (Gonna Fly Now)",Current
Crank It Up (Funk Town) Pt. 1,Peter Brown
Knock Knock Who's There,Mary Hopkin
Convention '72,The Delegates
I'm So Lonesome I Could Cry,Terry Bradshaw
Hummingbird,Seals & Crofts
You Just Can't Win (By Making The Same Mistake),Gene & Jerry
I Wanna Do It To You,Jerry Butler
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Make Me Twice The Man,New York City
Queen Of Clubs,KC And The Sunshine Band
The Biggest Parakeets In Town,Jud Strunk
Loving You Just Crossed My Mind,Sam Neely
Do You Love What You Feel,Rufus And Chaka Khan
Shaving Cream,Benny Bell
Beer Barrel Polka/Dick And Jane,Bobby Vinton
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me),Bonnie Pointer
Dynomite-Part I,Tony Camillo's Bazuka
Hound Dog Man (Play It Again),Lenny LeBlanc
Twisting The Night Away,Rod Stewart
Then She's A Lover,Roy Clark
If I Were A Carpenter,Johnny Cash & June Carter
Da Doo Ron Ron (When He Walked Me Home),Ian Matthews
Kufanya Mapenzi (Making Love),Ramsey Lewis
Jasper,Jim Stafford
I'll Always Love My Mama (Part I),The Intruders
New York City,Zwol
Can't Find The Time,Rose Colored Glass
Black Fox,Freddy Robinson
Son Of My Father,Chicory
What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov,Jessi Colter
Time To Get It Together,Country Coalition
River's Risin',Edgar Winter
"Gonna Fly Now (Theme From ""Rocky"")",Maynard Ferguson
Everybody Loves A Rain Song,B.J. Thomas
Look What You've Done To My Heart,"Marilyn McCoo & Billy Davis, Jr."
Dream Merchant,New Birth
Look What They've Done To My Song Ma,The New Seekers featuring Eve Graham
Roberta,Bones
