Ju Ju Hand,Sam The Sham and the Pharaohs
Long As The Rose Is Red,Florraine Darlin
Misty,"""Groove"" Holmes"
Happy Shades Of Blue,Freddie Cannon
Sinner Man,Trini Lopez
Wichita Lineman,Glen Campbell
Nothing New (Same Old Thing),Fats Domino
Don't Give Up,Petula Clark
He Touched Me,Barbra Streisand
Gimme Some Lovin',The Spencer Davis Group
Have I Stayed Too Long,Sonny & Cher
"Tonight My Love, Tonight",Paul Anka
Eternally,The Chantels
Honolulu Lulu,Jan & Dean
Don't Come Knockin',Fats Domino
Back In My Arms Again,The Supremes
Fly Me To The Moon,Bobby Womack
Hook And Sling-Part I,Eddie Bo
Reach Out I'll Be There,Four Tops
I Love You,People
I Got The Feelin',James Brown And The Famous Flames
Make The World Go Away,Timi Yuro
Sometimes You Gotta Cry A Little,Bobby Bland
Cross My Heart,Billy Stewart
The Beginning Of Loneliness,Dionne Warwick
Dear John,Pat Boone
Mediterranean Moon,The Rays
Popsicle,Jan & Dean
Did You Have A Happy Birthday?,Paul Anka
Wait A Minute,Tim Tam And The Turn-Ons
Rain Rain Go Away,Bobby Vinton
When I'm Gone,Brenda Holloway
Quick Joey Small (Run Joey Run),Kasenetz-Katz Singing Orchestral Circus
I'm Crazy 'Bout My Baby,Marvin Gaye
Walk On By,Dionne Warwick
Tired Of Being Lonely,Sharpees
I Only Want To Be With You,Dusty Springfield
Last Kiss,J. Frank Wilson and The Cavaliers
Think,James Brown And The Famous Flames
Simon Says,1910 Fruitgum Co.
Right By My Side,Ricky Nelson
Tonight (Could Be The Night),The Velvets featuring Virgil Johnson
Mary Ann Regrets,Burl Ives
Beechwood 4-5789,The Marvelettes
Sha La La,Manfred Mann
There Was A Time,James Brown And The Famous Flames
Diane,Joe Harnell And His Orchestra
Can't Seem To Make You Mine,The Seeds
The Hoochi Coochi Coo,Hank Ballard And The Midnighters
Never On Sunday,Don Costa And His Orchestra And Chorus
A Million To One,Jimmy Charles and The Revelletts
Pandora's Golden Heebie Jeebies,The Association
"Hey Jean, Hey Dean",Dean And Jean
Pride And Joy,Marvin Gaye
Tiny Bubbles,Don Ho and the Aliis
That Acapulco Gold,The Rainy Daze
Dang Me,Roger Miller
Tears And Roses,Al Martino
Who Cares,Fats Domino
Mr. Songwriter,Connie Stevens
When You Dance,Jay & The Americans
It Ain't No Use,Major Lance
(The Man Who Shot) Liberty Valance,Gene Pitney
Miss Fine,The New Yorkers
I've Cried My Last Tear,The O'Jays
Slip Away,Clarence Carter
In The Still Of The Night,Paul Anka
Come See,Major Lance
Ain't It True,Andy Williams
The Popcorn,James Brown
The Christmas Song (Merry Christmas To You),Nat King Cole
Lolita Ya-Ya,The Ventures
Why Can't You Bring Me Home,Jay & The Americans
"Mixed-Up, Shook-Up, Girl",Patty & The Emblems
Darkest Street In Town,Jimmy Clanton
Glad To Be Unhappy,The Mamas & The Papas
It's Got To Be Mellow,Leon Haywood
Golden Gate Park,Rejoice!
Him Or Me - What's It Gonna Be?,Paul Revere & The Raiders
You Gave Me A Mountain,Frankie Laine
Chinese Checkers,Booker T. & The MG's
Baby I Need Your Loving,Four Tops
Aunt Dora's Love Soul Shack,Arthur Conley
The Love I Saw In You Was Just A Mirage,Smokey Robinson & The Miracles
That's The Way Love Is,Marvin Gaye
You Got To Pay The Price,Gloria Taylor
Look For A Star,Billy Vaughn And His Orchestra
That's The Way God Planned It,Billy Preston
Fannie Mae,Buster Brown
From Me To You,The Beatles
New York's A Lonely Town,The Trade Winds
Last Night,Mar-Keys
Love Will Find A Way,Jackie DeShannon
Think Of The Good Times,Jay & The Americans
Bon-Doo-Wah,The Orlons
Never My Love,The Sandpebbles
Dedicated Follower Of Fashion,The Kinks
Surfer Girl,The Beach Boys
We're Doing Fine,Dee Dee Warwick
Maybelline,Johnny Rivers
Route 66 Theme,Nelson Riddle
Bang Bang,The Joe Cuba Sextet
Fly By Night,Andy Williams
Iko Iko,The Dixie Cups
I Wonder What She's Doing Tonite,Tommy Boyce & Bobby Hart
She Loves You,The Beatles
Part Time Love,Little Johnny Taylor
We Got A Thing That's In The Groove,The Capitols
My Heart's Symphony,Gary Lewis And The Playboys
Can't Help Falling In Love,Elvis Presley With The Jordanaires
Wait A Minute,The Coasters
It Will Stand,The Showmen
You Keep Me Hangin' On,The Supremes
Fiddle Around,Jan & Dean
Opportunity,The Jewels
Let's Kiss And Make Up,Bobby Vinton
This Magic Moment,Jay & The Americans
I Don't Need No Doctor,Ray Charles and his Orchestra
A Million To One,Five Stairsteps & Cubie
Sugar And Spice,The Searchers
Skip A Rope,Henson Cargill
Blues (Stay Away From Me),Ace Cannon
Where Did The Good Times Go,Dick and DeeDee
If You Were A Rock And Roll Record,Freddy Cannon
How Can I Forget,Ben E. King
My Coloring Book,Sandy Stewart
Follow Me,Lyme & Cybelle
A Walkin' Miracle,The Essex Featuring Anita Humes
I Can't Say Goodbye,Bobby Vee
Not One Minute More,Della Reese
Slaughter On Tenth Avenue,The Ventures
Ja-Da,Johnny And The Hurricanes
