Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Brother's Fall,Dark Oath,spotify:track:64ifpY4sLPvhjy4J684lXy,0.372,0.959,6,-4.93,0,0.114,3.04e-05,0.84,0.35,0.0684,159.951,457379,4,175.22142,13,0
Ghuleh / Zombie Queen,Ghost,spotify:track:7icTGEOi1kOOBmiUbxCDd7,0.331,0.626,4,-5.984,0,0.0309,0.00622,0.0343,0.0635,0.185,156.987,449240,4,23.79579,15,0
The Phoenix,Fall Out Boy,spotify:track:7jwDuO7UZvWs77KNj9HbvF,0.562,0.964,4,-2.991,0,0.072,0.000539,1.57e-06,0.579,0.41,138.063,244960,4,51.16508,8,0
Freakin' Out On the Interstate,Briston Maroney,spotify:track:6Fqf0OTfB9VPfYk2HfBhPn,0.452,0.79,4,-5.01,1,0.0534,0.391,0,0.303,0.362,143.861,251906,4,41.16626,9,0
Scholarships,Drake & Future,spotify:track:0B5OTb36fzLayn6XQHg5A1,0.556,0.416,0,-9.319,0,0.369,0.0966,1.19e-05,0.1,0.256,83.726,209288,3,52.32592,10,1
Selah,Carinthia,spotify:track:38ObU4SEIkEmOjB68uy4cR,0.565,0.427,9,-14.158,1,0.0281,0.812,0.898,0.101,0.0657,106.979,334020,3,28.75519,10,0
Apparitions,Long Distance Calling,spotify:track:6B48Yd5cXycAc4k6hdtjN3,0.253,0.666,9,-8.485,0,0.0427,0.0626,0.748,0.148,0.0554,95.013,736760,4,36.83541,24,0
The River,Wage War,spotify:track:2iLl6cs7VkHya8zEiEMEMD,0.539,0.949,8,-6.345,1,0.0839,1.63e-05,0.165,0.0811,0.208,144.945,228120,4,61.38941,9,0
Bound by Time,Fractal Gates,spotify:track:1rX2uZdsNVakKIRRR2PBBP,0.344,0.981,4,-4.211,0,0.0579,1.8e-05,0.00106,0.535,0.411,174.987,254147,4,71.95179,9,0
Bounce It,Juicy J Featuring Wale & Trey Songz,spotify:track:3N5oiETJEStSB71TjTFkWV,0.785,0.572,11,-9.383,1,0.0859,0.00811,0,0.111,0.477,140.032,260560,4,27.07503,13,1
Ghosts,The Blacktones,spotify:track:0tKnseEoeEAUR6XD8iVXYD,0.472,0.796,8,-5.32,1,0.0457,0.000329,0.295,0.119,0.245,135.085,350120,4,42.27278,12,0
You Can't Live There Forever,The World Is A Beautiful Place & I Am No Longer Afraid To Die,spotify:track:0m5dYg8PUPEVf8hjXz8QoO,0.656,0.244,6,-12.489,1,0.0308,0.445,0.715,0.118,0.464,110.048,241599,4,67.77997,9,0
HÃÂÃÂÃÂÃÂ¥rdrock,Lillasyster,spotify:track:0EuISGQc7nqpMBZtXkskpA,0.669,0.939,4,-4.811,0,0.0782,0.00409,1.64e-06,0.268,0.631,129.95,210507,4,17.29427,10,0
Lonely Boy,The Black Keys,spotify:track:5G1sTBGbZT5o4PNRc75RKI,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,193653,4,26.97833,11,1
Dark Times,The Weeknd Featuring Ed Sheeran,spotify:track:6J7PIkhtHwmFjPLq0SyuPj,0.501,0.403,9,-9.607,0,0.0752,0.114,1.1e-05,0.124,0.27,132.608,260640,3,62.64678,10,1
Heartless,The Weeknd,spotify:track:57vxBYXtHMk6H1aD29V7PU,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080,4,45.56291,9,1
Nihil,Heretoir,spotify:track:1bwhbehQeHRSvKrVPv8sIb,0.192,0.436,0,-15.949,0,0.0292,0.414,0.673,0.13,0.0592,92.549,203827,4,16.04692,9,0
Honest,The Chainsmokers,spotify:track:6KjbNLbRjuoa8rEq5yNA6H,0.673,0.514,0,-10.772,0,0.0465,0.0121,8.5e-05,0.385,0.312,100.035,208000,4,27.15998,9,1
And Bells They Toll,Insomnium,spotify:track:23VJky1xxnazaDWMOA4ybJ,0.382,0.881,2,-7.458,1,0.0618,0.0189,0.00682,0.182,0.16,129.994,361827,4,60.15995,12,0
When You See My Friends,Mayday Parade,spotify:track:5M7OvJqw8FvIr4jLJLwCi1,0.228,0.753,1,-4.132,1,0.037,0.00149,0,0.108,0.291,170.878,214573,4,16.41801,9,0
Codeine,Caves of Steel,spotify:track:2DPkVtWyvzvZGNuT0hDviV,0.532,0.635,2,-10.704,1,0.031,0.00518,0.803,0.208,0.101,119.989,371693,4,47.83269,15,0
Wolves Against the World,Powerwolf,spotify:track:3jjxOUUSzOYwZX7BSZuBvH,0.188,0.917,3,-5.772,1,0.104,0.00309,0.00143,0.0957,0.202,144.054,364653,4,32.92743,12,0
Beat Of The Music,Brett Eldredge,spotify:track:3un2KQUaQ2brEpd8dK93wI,0.629,0.808,9,-4.125,1,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001,179293,4,44.43642,7,1
Where Were You (When the World Stopped Turning),Alan Jackson,spotify:track:3eSwvMfSA0Fyku6Ak5JEw0,0.623,0.387,0,-9.537,1,0.0316,0.549,0,0.0764,0.189,115.362,305093,4,29.03554,15,0
Rudolph The Red-Nosed Reindeer,Gene Autry,spotify:track:1dtIaSlyrLI04sqYa8nLyN,0.632,0.159,8,-14.056,1,0.0492,0.883,0,0.222,0.644,142.11,186733,4,57.58742,9,1
The Weather,Lyves,spotify:track:3J7wh2tkjlGS2LmQmIkwYb,0.572,0.454,9,-7.892,0,0.0374,0.438,0.00159,0.104,0.0675,110.069,194252,4,43.65195,8,0
Loyalty.,Kendrick Lamar Featuring Rihanna,spotify:track:6SwRhMLwNqEi6alNPVG00n,0.658,0.535,9,-8.983,0,0.0573,0.0265,0,0.2,0.419,110.684,227360,4,35.22651,12,1
Nine Eyes of Twilight,Sacrilege,spotify:track:72vrPszrNAg5VYxbUdsQJ6,0.256,0.966,7,-4.753,1,0.171,2.4e-05,0.75,0.112,0.208,113.946,346933,4,44.81339,15,0
Smoke Break,Carrie Underwood,spotify:track:46W2wkCzFerbeQbNz3EIaa,0.453,0.839,11,-3.702,1,0.0511,0.0513,0,0.348,0.55,160.16,198333,4,29.76711,9,1
Homicide,Logic Featuring Eminem,spotify:track:0Lw6aQcBFWTQ9m4MSwwwes,0.722,0.764,10,-5.656,0,0.398,0.145,0,0.171,0.796,139.831,245413,4,28.00367,12,1
Stitches,Shawn Mendes,spotify:track:1WP1r7fuvRqZRnUaTi2I1Q,0.746,0.754,1,-6.681,1,0.067,0.0152,0,0.0486,0.764,149.882,206880,4,43.82117,8,0
Dangerous Woman,Ariana Grande,spotify:track:5H7d8isXFW779pCK7lo4KT,0.407,0.826,4,-3.443,0,0.0926,0.086,1.21e-06,0.979,0.277,133.942,233447,3,32.32181,10,1
Again,Fetty Wap,spotify:track:3ESSGgWzRf1xvP7G5hHMhB,0.748,0.733,11,-4.421,0,0.072,0.0062,0,0.329,0.291,93.019,312240,4,32.31209,13,1
Knockout,Lil Wayne Featuring Nicki Minaj,spotify:track:1DDsYldutVWnRrRbZc5X5B,0.488,0.821,7,-3.729,1,0.0482,0.00263,0.000514,0.287,0.354,159.992,249307,4,24.9919,14,1
Falling Down,Lil Peep & XXXTENTACION,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4,32.88226,5,1
The Loser,Zach Farache,spotify:track:3u0kNxqOOC8SdoODpkmoZO,0.608,0.295,1,-10.744,1,0.194,0.468,0.278,0.324,0.147,120.584,131657,4,32.00666,5,0
Marry Me,Train,spotify:track:2MWOqewf5j0qf2b6S5J6cS,0.461,0.267,0,-8.514,1,0.0278,0.834,2.03e-05,0.107,0.481,87.918,205453,4,30.53544,12,1
Smile,Avril Lavigne,spotify:track:4bia7OWZPoswlzXCqESYrR,0.634,0.848,1,-3.843,0,0.047,0.00237,0,0.0681,0.647,105.055,209520,4,39.65995,8,1
Tell Me You Love Me,Demi Lovato,spotify:track:1MKZaAEx8RrzoQjHhVuvgs,0.538,0.6,6,-5.463,1,0.0489,0.0273,0,0.147,0.26,81.888,236987,4,36.55191,8,1
Night of the Werewolves,Powerwolf,spotify:track:1BZ6VNjPOcf1ysNMARzirk,0.228,0.854,8,-5.942,0,0.066,0.00168,0,0.081,0.456,171.404,270707,4,44.3901,15,0
Real Games,Lucky Daye,spotify:track:4c3d0xt7rUFDV7EnnRYi4i,0.766,0.374,1,-7.851,1,0.0975,0.432,0.000107,0.0714,0.563,141.919,331307,4,30.99439,12,0
Sick Boy,The Chainsmokers,spotify:track:58kZ9spgxmlEznXGu6FPdQ,0.663,0.577,11,-7.518,0,0.0531,0.109,0,0.12,0.454,89.996,193200,4,53.38415,9,1
Light It Up,Young Thug,spotify:track:2G1O1E91aRpIX5r6ngW51V,0.953,0.515,10,-8.546,1,0.0846,0.00389,0,0.11,0.351,138.039,209253,4,26.24926,11,1
Window Seat,Erykah Badu,spotify:track:74HYrIbnpc2xKCTenv5qKM,0.643,0.535,0,-6.795,0,0.0941,0.648,0.00213,0.0766,0.564,82.193,289720,4,30.38643,15,1
Living in Me,Omnium Gatherum,spotify:track:2cBXOeFZ6z16wvZK3cAq0q,0.51,0.979,3,-5.264,0,0.11,0.000147,0.733,0.28,0.305,100.012,280547,4,24.55985,10,0
Onward Procession IV. Return, The Heir,Minsk,spotify:track:0xxKiS3DiytYFikpdMAEGj,0.48,0.833,7,-6.733,1,0.0448,0.000103,0.846,0.14,0.264,101.027,251349,3,36.43305,7,0
Hot Mess,Cobra Starship,spotify:track:18eoNBn1L1li2TvPa2DupB,0.642,0.87,7,-4.096,1,0.11,0.00205,0,0.129,0.73,119.987,172293,4,61.65655,4,1
Semi-Charmed Life,Third Eye Blind,spotify:track:33vhqvRHPl5tFtyPOByrQf,0.64,0.864,7,-6.576,1,0.0315,0.00832,0,0.123,0.7,102.026,268360,4,77.1279,11,0
Harlem Shake,Baauer,spotify:track:01XFgRZfZI7oBagNf1Loml,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664,4,43.71269,9,1
Nightmare,Offset & Metro Boomin,spotify:track:7LAhKXDNWwq3CmnFP3UIOP,0.739,0.405,0,-10.897,1,0.0852,0.442,0.211,0.158,0.127,157.09,147987,4,24.87977,7,1
Love Someone,Lukas Graham,spotify:track:2JqnpexlO9dmvjUMCaLCLJ,0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,205463,4,44.89147,9,1
Jonestown (Interlude),Post Malone,spotify:track:0R6Jlsq25eZB3Wftpxi3oF,0.38,0.454,0,-10.271,0,0.0362,0.755,0.623,0.263,0.288,77.592,112013,4,39.2801,3,1
Still Got Time,Zayn Featuring PARTYNEXTDOOR,spotify:track:000xQL6tZNLJzIrtIgxqSl,0.748,0.627,7,-6.029,1,0.0644,0.131,0,0.0852,0.524,120.963,188491,4,31.64719,8,1
It Ain't Me,Kygo x Selena Gomez,spotify:track:12GEpg2XOPyqk03JZEZnJs,0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,220781,4,36.87356,12,1
Let Me Down Slowly,Alec Benjamin + Alessia Cara,spotify:track:2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,169354,4,32.0506,9,1
Esskeetit,Lil Pump,spotify:track:44KKhCyI0BGS6LvVyDqJtH,0.934,0.505,11,-7.648,1,0.168,0.0229,0,0.0867,0.691,139.93,181714,4,69.02425,8,1
Young & Crazy,Frankie Ballard,spotify:track:6ll39ALTlddWWQZLjSFlwM,0.61,0.876,0,-4.244,1,0.0394,0.0247,0,0.31,0.783,115.05,180347,4,31.14228,9,1
Won't Be Late,Swae Lee Featuring Drake,spotify:track:2sqsNXfN0HtgDEgaHXiUTa,0.915,0.588,7,-6.302,0,0.0677,0.0824,0.000169,0.104,0.329,123.936,218710,4,29.30098,8,1
Image of Control (II),Sumac,spotify:track:309iQkCKxZMYsaHajSuah9,0.336,0.949,8,-6.752,0,0.0895,0.000423,0.836,0.408,0.257,119.801,359975,3,28.82264,14,0
The Inevitable Cycle,Set and Setting,spotify:track:6YABG28FEy9MJwkJQ2QIdj,0.165,0.819,5,-7.094,1,0.0411,1.41e-06,0.671,0.504,0.194,132.095,380716,4,35.88632,13,0
This Is How We Do,Katy Perry,spotify:track:5vL0yvddknhGj7IrBc6UTj,0.69,0.636,9,-6.028,0,0.0457,0.0203,0,0.147,0.8,96.0,204285,4,20.53821,9,1
Emergence,Shylmagoghnar,spotify:track:2pSNmrKp1waGs6HOUlpgMg,0.119,0.964,7,-5.332,1,0.0853,1.28e-06,0.229,0.0625,0.191,82.136,387500,4,45.19791,14,0
Short Term Feedback,A Storm of Light,spotify:track:1SqQdSv5hutuOKre7uh7fV,0.442,0.93,0,-8.542,1,0.0507,6.32e-06,0.145,0.153,0.434,123.753,345384,1,27.74397,13,0
Chevron,Cult Of Luna,spotify:track:5v0hC5RcP6EhEb9QBqTk5N,0.45,0.851,1,-7.426,1,0.0394,1.22e-05,0.848,0.248,0.12,115.019,533840,4,37.44765,19,0
It's You,Ali Gatie,spotify:track:5DqdesEfbRyOlSS3Tf6c29,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,212607,4,67.42189,9,1
Exist,Autism,spotify:track:313Zi2ymGFXYlGSoh9smMn,0.584,0.897,10,-12.248,0,0.0574,0.0526,0.68,0.0988,0.638,139.99,183671,4,69.42214,7,0
Insomniac,Hanz,spotify:track:4NLgbmSmTV1pjTJKT69SKo,0.766,0.408,7,-10.989,1,0.121,0.13,0.629,0.112,0.126,76.056,189498,4,76.11341,6,0
West Coast Love,Emotional Oranges,spotify:track:4NFD9ea0uH0MtoC30yNYE1,0.696,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,91.997,215387,4,47.86143,10,0
The Betrayal of Lyla,Ark Patrol,spotify:track:4mf46JVa7h9h4ddne1bkAx,0.494,0.743,10,-6.945,0,0.0479,0.273,0.00159,0.129,0.2,129.876,369231,4,30.51414,15,0
Songbird,Glee Cast,spotify:track:3GZuofjHU2nu8kcifVt1SY,0.32,0.0622,5,-10.938,1,0.039,0.964,1.2e-06,0.0867,0.393,183.497,198147,4,25.73379,13,1
I Had No Idea,Terrace Martin,spotify:track:3OMXlsNh8VKBHtueWYghSh,0.472,0.496,1,-11.712,0,0.158,0.215,1.91e-06,0.0897,0.346,150.365,223160,4,37.02534,12,0
Return To Us,The Ascent of Everest,spotify:track:4SpuwaBKYOxAulb0KFZZlA,0.359,0.773,7,-8.432,1,0.0498,2.93e-05,0.879,0.524,0.233,133.929,390920,4,89.65672,14,0
Sad Heart Of Mine,Caspian,spotify:track:2OSelhrHTVKq6hdfE3fG6R,0.389,0.451,5,-10.178,1,0.0348,0.0161,0.883,0.1,0.103,120.004,267333,3,48.1586,12,0
Relationship,Young Thug Featuring Future,spotify:track:25oOaleife6E2MIKmFkPvg,0.842,0.597,2,-6.336,1,0.0627,0.00252,0,0.124,0.298,145.992,215307,4,16.96767,12,1
Route One 348,Sigur RÃÂÃÂÃÂÃÂ³s,spotify:track:4AmX7nXIfpLJPZFswMojFa,0.175,0.183,6,-20.088,0,0.0465,0.929,0.981,0.353,0.0384,116.781,240001,4,135.23488,13,0
A Toast and a Spirit,Vacation Manor,spotify:track:3vTG7B4eu8jsrSQGuxYygG,0.628,0.797,4,-6.103,1,0.0371,0.0234,3.57e-06,0.112,0.497,128.025,210653,4,38.6422,12,0
The Crow & The Butterfly,Shinedown,spotify:track:1LkMC92Zc21awBWSHWZeGp,0.319,0.781,5,-3.496,1,0.0329,0.0013,0,0.0944,0.238,149.002,253600,3,46.90798,9,1
Anxiety: Despair,Escaping Aghartha,spotify:track:4PgA4F3mDDUPD3BClUXIk7,0.159,0.174,7,-5.944,1,0.0528,0.108,0.882,0.355,0.0367,109.729,566586,3,61.56636,33,0
Footloose,Blake Shelton,spotify:track:4shPfi6RsJiwQtso2XFGiL,0.52,0.924,7,-4.748,1,0.0686,0.00121,2.31e-06,0.128,0.844,173.98,218493,4,33.41497,10,1
Near Light,ÃÂÃÂÃÂÃÂlafur Arnalds,spotify:track:5ykXsKJqx0GE0dsogxjylG,0.481,0.323,2,-14.384,1,0.0326,0.964,0.904,0.102,0.0837,117.963,208400,4,24.62005,10,0
0 To 100 / The Catch Up,Drake,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,0.559,0.716,11,-3.964,0,0.39,0.737,0,0.252,0.504,176.618,275227,4,22.0471,14,1
Amongst Your Earthiest Words The Angels Stray,Years Of Rice And Salt,spotify:track:2FZNoMIQ2GIXLK8fYI9lAY,0.326,0.347,2,-7.594,1,0.0304,0.167,0.876,0.147,0.0662,143.044,360200,4,27.45564,15,0
Secrets,Adept,spotify:track:7atFpbtmI34uJ7lIAx7B4j,0.339,0.954,7,-4.033,1,0.1,2.37e-05,0.000263,0.209,0.174,160.027,242679,4,25.31274,13,0
Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,spotify:track:38iU2jg98IZZEIJPrP7aWD,0.693,0.705,8,-5.747,1,0.0665,0.0228,0,0.202,0.45,131.951,237947,4,54.94372,7,1
ATM,J. Cole,spotify:track:2UciqgwVDwro0fev3MFbxJ,0.719,0.497,8,-7.661,1,0.681,0.115,0,0.0898,0.345,81.651,216727,4,36.33591,9,1
Ye vs The People,Kanye West Featuring T.I.,spotify:track:69b0SDYOymaqYwm3la237H,0.464,0.822,1,-1.881,1,0.294,0.0568,0,0.103,0.722,79.973,202641,4,61.71976,8,1
Signs,Drake,spotify:track:6Na5uKk5SsqZimk0hAWo8y,0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,234373,4,54.77637,8,1
Starships,Nicki Minaj,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,0.747,0.716,11,-2.457,0,0.075,0.135,0,0.251,0.751,125.008,210627,4,23.23304,12,1
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,spotify:track:4356Typ82hUiFAynbLYbPn,0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,220800,4,24.75961,11,1
Imma Be,The Black Eyed Peas,spotify:track:5OiLJ8tjUPFiPX2gVM8fxJ,0.597,0.517,0,-6.963,1,0.365,0.179,0,0.307,0.412,92.035,257560,4,22.88778,13,1
Poetic Justice,Kendrick Lamar Featuring Drake,spotify:track:2P3SLxeQHPqh8qKB6gtJY2,0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,300160,4,21.70675,11,1
Octane Twisted - Live,Porcupine Tree,spotify:track:1F89jrPNcOuFxMzzLTAY9P,0.545,0.582,9,-13.883,1,0.0287,0.00117,0.544,0.248,0.131,95.019,303160,4,41.10085,13,0
No One Wished to Settle Here,Mouth Of The Architect,spotify:track:2Cw0quUPE6zMNmasYhVkMf,0.464,0.882,0,-7.244,0,0.0404,5.47e-06,0.876,0.301,0.31,117.225,937018,3,73.13291,36,0
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,spotify:track:7vb1HJXTK7hR3ug25xtiuY,0.385,0.98,8,-2.764,0,0.0683,0.00021,0.0034,0.369,0.61,165.932,206227,4,22.61272,11,0
Make Me Wanna,Thomas Rhett,spotify:track:69DR48pXzSabFUfQfDDJDb,0.545,0.818,9,-6.38,1,0.0541,0.0369,0,0.101,0.679,109.019,225067,3,21.16051,11,1
The Emperor,Megadeth,spotify:track:3uKq4vKjwaqceeweS3aMR5,0.379,0.971,2,-2.521,1,0.163,1.68e-05,0.0129,0.236,0.333,172.979,231867,4,45.4612,11,0
Way Through Woven Branches,ISIS,spotify:track:4sUabvQwxYwgIfzY9SKnZe,0.284,0.769,1,-6.922,0,0.0466,0.000762,0.639,0.0948,0.318,138.218,384560,4,39.0031,16,0
Where I Come From,Montgomery Gentry,spotify:track:10ps1I1sIMRNZW11eceN7W,0.62,0.852,1,-4.203,1,0.0308,0.0108,4.94e-06,0.279,0.479,90.038,201840,4,43.68987,7,1
Tunnel Vision,Kodak Black,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187,4,34.34979,9,1
Might Be,DJ Luke Nasty,spotify:track:7KLB6Jptw9wyQXkSLiO8qh,0.448,0.782,9,-6.766,0,0.458,0.378,0,0.114,0.694,74.037,210704,4,31.50573,7,1
Elise,KREHATED,spotify:track:4KZuw4RahvFhN1MPyd2Bfk,0.437,0.957,2,-7.468,1,0.0761,0.00871,0.0488,0.141,0.114,95.008,250000,4,38.52634,11,0
Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,spotify:track:6dshconh2KBbGxVh7GtSTC,0.709,0.949,0,-4.155,1,0.0509,0.00296,0.00022,0.26,0.398,128.966,209700,4,30.89963,10,1
Look What You Made Me Do,Taylor Swift,spotify:track:1JbR9RDP3ogVNEWFgNXAjh,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,4,45.37819,10,1
Anything Like Me,Brad Paisley,spotify:track:74mZKvZcZzzvbOnt8NfWda,0.545,0.522,2,-9.241,1,0.0341,0.422,0,0.119,0.446,164.869,268187,4,30.49503,12,1
Constellation,Enshine,spotify:track:6NnSankSSYaPFNLLozQlZM,0.114,0.91,1,-3.635,0,0.0636,0.00481,0.0275,0.383,0.24,94.73,315000,3,31.44302,12,0
A Sky Full Of Stars,Coldplay,spotify:track:0FDzzruyVECATHXKHFs9eJ,0.551,0.636,6,-7.125,1,0.0281,0.00713,0.00203,0.217,0.153,124.996,268467,4,32.18263,13,1
Heavy Water / I'd Rather Be Sleeping,Nothing,spotify:track:22OzWPprasIwIDSkYItPrE,0.122,0.47,2,-6.762,1,0.0407,0.0008,0.964,0.0911,0.369,90.627,248280,4,26.24924,10,0
Stole,Kelly Rowland,spotify:track:0e1xUbHCmN8mvkCAOXPlxh,0.649,0.708,7,-5.599,0,0.0663,0.00603,1.39e-06,0.174,0.487,79.985,249227,4,52.71736,11,0
Steady Mobbin',Young Money Featuring Gucci Mane,spotify:track:3cSuhzV7wKX5diQ8hos78P,0.488,0.691,0,-8.09,0,0.279,0.0219,0,0.501,0.697,156.141,310733,4,23.7164,16,1
Memorial Pt. II,In The Hearts Of Emperors,spotify:track:2h5cjo2RKv1AZIdTDs7oQ3,0.251,0.325,11,-15.764,0,0.0362,0.848,0.84,0.103,0.0397,128.017,179000,3,19.66896,6,0
Sugar,Robin Schulz Featuring Francesco Yates,spotify:track:5tf1VVWniHgryyumXyJM7w,0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,219043,4,31.44339,10,1
Aura,Omega Massif,spotify:track:21yFamznJwOD5dND9eGv0w,0.195,0.675,6,-7.334,1,0.0376,7.28e-05,0.731,0.097,0.245,95.393,600107,4,203.20056,17,0
Free,Zac Brown Band,spotify:track:4bWlAEbGHhPKQNjhTstN2p,0.453,0.412,1,-7.539,1,0.0276,0.24,0.00021,0.101,0.282,75.752,228653,4,44.78909,9,1
Hello,Karmin,spotify:track:7jO1boY6qwRjeu0EBtvDuu,0.658,0.919,5,-2.455,1,0.171,0.166,0,0.123,0.516,127.916,237547,4,30.15487,10,1
